ProductCode,Description,Description2,Description3,List Price before discount and GST,Barcode,Image,URL,Condition,Picture 1,Picture 2,Picture 3
1101,Traditional Chef Jacket - Short Sleeve,,,$20.30,,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/1101,,1101100.jpg,1101 SLEEVE PEN POCKET.jpg,
110110061,Trad Chef Jacket S/S Black XXS,Black,XXS,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110061,,1101100.jpg,,
110110062,Trad Chef Jacket S/S Black XS,Black,XS,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110062,,1101100.jpg,,
110110063,Trad Chef Jacket S/S Black S,Black,S,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110063,,1101100.jpg,,
110110064,Trad Chef Jacket S/S Black M,Black,M,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110064,,1101100.jpg,,
110110065,Trad Chef Jacket S/S Black L,Black,L,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110065,,1101100.jpg,,
110110066,Trad Chef Jacket S/S Black XL,Black,XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110066,,1101100.jpg,,
110110067,Trad Chef Jacket S/S Black 2XL,Black,2XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110067,,1101100.jpg,,
110110068,Trad Chef Jacket S/S Black 3XL,Black,3XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110068,,1101100.jpg,,
110110069,Trad Chef Jacket S/S Black 4XL,Black,4XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101100.jpg,https://www.dncworkwear.com.au/Product/110110069,,1101100.jpg,,
110134961,Trad Chef Jacket S/S White XXS,White,XXS,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134961,,1101349.jpg,,
110134962,Trad Chef Jacket S/S White XS,White,XS,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134962,,1101349.jpg,,
110134963,Trad Chef Jacket S/S White S,White,S,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134963,,1101349.jpg,,
110134964,Trad Chef Jacket S/S White M,White,M,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134964,,1101349.jpg,,
110134965,Trad Chef Jacket S/S White L,White,L,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134965,,1101349.jpg,,
110134966,Trad Chef Jacket S/S White XL,White,XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134966,,1101349.jpg,,
110134967,Trad Chef Jacket S/S White 2XL,White,2XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134967,,1101349.jpg,,
110134968,Trad Chef Jacket S/S White 3XL,White,3XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134968,,1101349.jpg,,
110134969,Trad Chef Jacket S/S White 4XL,White,4XL,$20.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1101349.jpg,https://www.dncworkwear.com.au/Product/110134969,,1101349.jpg,,
1102,Traditional Chef Jacket - Long Sleeve,,,$22.30,,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/1102,,1102100.jpg,1102 SLEEVE PEN POCKET.jpg,1102-1.jpg
110210061,Trad Chef Jacket L/S Black XXS,Black,XXS,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210061,,1102100.jpg,,
110210062,Trad Chef Jacket L/S Black XS,Black,XS,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210062,,1102100.jpg,,
110210063,Trad Chef Jacket L/S Black S,Black,S,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210063,,1102100.jpg,,
110210064,Trad Chef Jacket L/S Black M,Black,M,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210064,,1102100.jpg,,
110210065,Trad Chef Jacket L/S Black L,Black,L,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210065,,1102100.jpg,,
110210066,Trad Chef Jacket L/S Black XL,Black,XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210066,,1102100.jpg,,
110210067,Trad Chef Jacket L/S Black 2XL,Black,2XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210067,,1102100.jpg,,
110210068,Trad Chef Jacket L/S Black 3XL,Black,3XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210068,,1102100.jpg,,
110210069,Trad Chef Jacket L/S Black 4XL,Black,4XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102100.jpg,https://www.dncworkwear.com.au/Product/110210069,,1102100.jpg,,
110234961,Trad Chef Jacket L/S White XXS,White,XXS,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234961,,1102349.jpg,,
110234962,Trad Chef Jacket L/S White XS,White,XS,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234962,,1102349.jpg,,
110234963,Trad Chef Jacket L/S White S,White,S,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234963,,1102349.jpg,,
110234964,Trad Chef Jacket L/S White M,White,M,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234964,,1102349.jpg,,
110234965,Trad Chef Jacket L/S White L,White,L,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234965,,1102349.jpg,,
110234966,Trad Chef Jacket L/S White XL,White,XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234966,,1102349.jpg,,
110234967,Trad Chef Jacket L/S White 2XL,White,2XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234967,,1102349.jpg,,
110234968,Trad Chef Jacket L/S White 3XL,White,3XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234968,,1102349.jpg,,
110234969,Trad Chef Jacket L/S White 4XL,White,4XL,$22.30,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1102349.jpg,https://www.dncworkwear.com.au/Product/110234969,,1102349.jpg,,
1103,Cool-Breeze Cotton Chef Jacket - Short Sleeve,,,$24.50,,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/1103,,1103349.jpg,1103 SLEEVE PEN POCKET.jpg,1103 under arm mesh.jpg
110334962,Cotton Chef Jacket S/S White XS,White,XS,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334962,,1103349.jpg,,
110334963,Cotton Chef Jacket S/S White S,White,S,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334963,,1103349.jpg,,
110334964,Cotton Chef Jacket S/S White M,White,M,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334964,,1103349.jpg,,
110334965,Cotton Chef Jacket S/S White L,White,L,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334965,,1103349.jpg,,
110334966,Cotton Chef Jacket S/S White XL,White,XL,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334966,,1103349.jpg,,
110334967,Cotton Chef Jacket S/S White 2XL,White,2XL,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334967,,1103349.jpg,,
110334968,Cotton Chef Jacket S/S White 3XL,White,3XL,$24.50,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1103349.jpg,https://www.dncworkwear.com.au/Product/110334968,,1103349.jpg,,
1104,Cool-Breeze Cotton Chef Jacket - Long Sleeve,,,$25.60,,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/1104,,1104349.jpg,1104 SLEEVE PEN POCKET.jpg,1104 under arm mesh.jpg
110434962,Cotton Chef Jacket L/S White XS,White,XS,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434962,,1104349.jpg,,
110434963,Cotton Chef Jacket L/S White S,White,S,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434963,,1104349.jpg,,
110434964,Cotton Chef Jacket L/S White M,White,M,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434964,,1104349.jpg,,
110434965,Cotton Chef Jacket L/S White L,White,L,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434965,,1104349.jpg,,
110434966,Cotton Chef Jacket L/S White XL,White,XL,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434966,,1104349.jpg,,
110434967,Cotton Chef Jacket L/S White 2XL,White,2XL,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434967,,1104349.jpg,,
110434968,Cotton Chef Jacket L/S White 3XL,White,3XL,$25.60,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1104349.jpg,https://www.dncworkwear.com.au/Product/110434968,,1104349.jpg,,
1105,Three Way Air Flow Chef Jacket - Short Sleeve,,,$21.80,,https://www.dncworkwear.com.au/images/hires/1105100.jpg,https://www.dncworkwear.com.au/Product/1105,,1105100.jpg,1105 SLEEVE PEN POCKET.jpg,1105-1.jpg
110510062,3 way Air Flow Chef Jacket S/S Black XS,Black,XS,$21.80,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1105100.jpg,https://www.dncworkwear.com.au/Product/110510062,,1105100.jpg,,
110510063,3 way Air Flow Chef Jacket S/S Black S,Black,S,$21.80,9.33598E+12,https://www.dncworkwear.com.au/images/hires/1105100.jpg,https://www.dncworkwear.com.au/Product/110510063,,1105100.jpg,,
