style,colors,size,category,short_description,long_description,stringified_description,worn_image,basicimg,sale_status
10100,Charcoal;Black;Navy,S;M;L;XL,pants;cool stretch plain;regular fit;female;women;separate suiting;scrub maternity;mix and match;suiting,Womens Cool Stretch Maternity Pant,"{'sizes': ['S - XL'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Soft front expandable rib panel. Mid-rise with a straight leg.']}","Sizes: S - XL; Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Soft front expandable rib panel. Mid-rise with a straight leg.; ",10100_bProduct_Charcoal_01_mSbBO5e.jpg,10100_bProduct_Charcoal_01_mSbBO5e.jpg;10100_bProduct_Charcoal_02_xRP92A1.jpg;10100_bProduct_Black_02_i7epOz8.jpg;10100_bProduct_Black_01_UBhLYc8.jpg;10100_Talent_Black_01_VaThe7o.jpg;10100_bProduct_Navy_01_IVa9GeW.jpg;10100_bProduct_Navy_02_y9urFp3.jpg;10100_Talent_Navy_01_ZinHcxK.jpg,normal
10111,Navy;Charcoal;Black,4;6;8;10;12;14;16;18;20;22;24;26,best sellers;pants;cool stretch plain;relaxed fit;female;women;separate suiting;suiting;business;mix and match,Womens Cool Stretch Relaxed Pant,"{'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['A comfortable everyday pant, mid-rise waist with a waistband designed to sit just below the navel. Straight leg, front horizontal pockets with one pocket on the rear.']}","Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: A comfortable everyday pant, mid-rise waist with a waistband designed to sit just below the navel. Straight leg, front horizontal pockets with one pocket on the rear.; ",10111_bProduct_Navy_02_9pIZyh3.jpg,10111_bProduct_Navy_02_9pIZyh3.jpg;10111_bProduct_Navy_01_coFvMxW.jpg;10111_Talent_Navy_01_RXBm0jx.jpg;10111_bProduct_Charcoal_01_TUy9ncj.jpg;10111_bProduct_Charcoal_02_QI3a3dv.jpg;10111_bProduct_Black_02_6cxaPRm.jpg;10111_bProduct_Black_01_hvnIHEW.jpg,normal
10115,Black;Charcoal;Navy,4;6;8;10;12;16;24;26;20;22;30;14;18;28,best sellers;pants;cool stretch plain;regular fit;female;women;separate suiting;suiting;mix and match;government and council;corporate office;customer service,Womens Cool Stretch Adjustable Waist Pant,"{'sizes': ['4 - 30 (AUS/NZ)', '0 - 26 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['The best selling pant in the range is a must have for your wardrobe. With a hidden elastic waist and deep front side pockets.']}","Sizes: 4 - 30 (AUS/NZ),0 - 26 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: The best selling pant in the range is a must have for your wardrobe. With a hidden elastic waist and deep front side pockets.; ",10115_bProduct_Black_02_3fz4qm9.jpg,10115_bProduct_Black_02_3fz4qm9.jpg;10115_bProduct_Black_01_5jjYuTB.jpg;10115_bProduct_Charcoal_02_UPIk2GS.jpg;10115_bProduct_Charcoal_01_8mIYs3L.jpg;10115_bProduct_Navy_02_xmaD6h7.jpg;10115_bProduct_Navy_01_RPLQ4Ae.jpg;10115_Talent_Navy_01_aj679t0.jpg,normal
10117,Navy;Black,4;6;8;10;12;14;16;18;20,best sellers;pants;cool stretch plain;slim fit;female;women;separate suiting;suiting;mix and match;government and council;corporate office;customer service,Womens Cool Stretch Slim Leg Pant,"{'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Navy_02_i99l4Li.jpg,10117_bProduct_Navy_02_i99l4Li.jpg;10117_bProduct_Navy_01_HE5sc1L.jpg;10117_Talent_Navy_01_FMpaij9.jpg;10117_bProduct_Black_02_3KmGjtT.jpg;10117_bProduct_Black_01_O1zE5SQ.jpg,normal
10121,Black;Navy,4;6;8;10;12;14;18;20;22;24;26;16,new products;pants;cool stretch plain;slim fit;female;women;separate suiting;mix and match;suiting,Womens Cool Stretch Bandless Slim Leg Pant,"{'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Black_01_NbP0q8U.jpg,10121_bProduct_Black_01_NbP0q8U.jpg;10121_bProduct_Black_02_IzW4L2w.jpg;10121_Talent_Black_01_BWyl1Jb.jpg;10121_bProduct_Navy_02_lFYuZY8.jpg;10121_bProduct_Navy_01_YRS8pdW.jpg,normal
10123,Navy;Black,4;6;8;10;12;16;18;20;22;24;26;28;30;32;14,new products;pants;cool stretch plain;easy fit;female;women;separate suiting;mix and match;suiting,Womens Cool Stretch Ultra Comfort Waist Pant,"{'sizes': ['4 - 32 (AUS/NZ)', '0 - 28 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Straight leg pant with a slight tapering through the leg. Elastic sides and back, high-rise and side pockets for comfort and functionality.']}","Sizes: 4 - 32 (AUS/NZ),0 - 28 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Straight leg pant with a slight tapering through the leg. Elastic sides and back, high-rise and side pockets for comfort and functionality.; ",10123_bProduct_Navy_01_TSWTQC2.jpg,10123_bProduct_Navy_01_TSWTQC2.jpg;10123_bProduct_Navy_02_rNQI550.jpg;10123_bProduct_Black_02_m7mDnEx.jpg;10123_bProduct_Black_01_tydpZdA.jpg;10123_Talent_Black_01_6AOePxQ.jpg,normal
10722,Marine;Black,4;6;8;10;12;14;22;26;18;20;24;16,siena suiting;pants;female;women;separate suiting;mix and match;suiting,Womens Siena Bandless Elastic Waist Pant,"{'sizes': ['4 - 26 (AUS/NZ)'], 'fabric': ['79% Polyester 17% Viscose 4% Elastane', 'A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.'], 'features': ['Perfect for those after a slimline pant with the added comfort and movement of an elastic back waistband.']}","Sizes: 4 - 26 (AUS/NZ); Fabric: 79% Polyester 17% Viscose 4% Elastane,A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.; Features: Perfect for those after a slimline pant with the added comfort and movement of an elastic back waistband.; ",10722_bProduct_Marine_01_AETyuZE.jpg,10722_bProduct_Marine_01_AETyuZE.jpg;10722_bProduct_Marine_02_Q7uwjuM.jpg;10722_bProduct_Black_02_9N7v47q.jpg;10722_bProduct_Black_01_GPi4sRn.jpg;10722_Talent_Black_01_KpI0Ifc.jpg,normal
14011,Navy;Charcoal;Black,24;26;4;6;8;10;12;14;16;18;20;22,comfort wool stretch;best sellers;pants;relaxed fit;female;women;separate suiting;suiting;mix and match,Womens Comfort Wool Stretch Relaxed Pant,"{'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['A comfortable everyday pant, mid-rise waist with a waistband designed to sit just below the navel. Straight leg, front horizontal pockets with one pocket on the rear.']}","Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: A comfortable everyday pant, mid-rise waist with a waistband designed to sit just below the navel. Straight leg, front horizontal pockets with one pocket on the rear.; ",14011_bProduct_Navy_01_44odG05.jpg,14011_bProduct_Navy_01_44odG05.jpg;14011_bProduct_Navy_02_5oK46x6.jpg;14011_bProduct_Charcoal_02_zpKP4Ga.jpg;14011_bProduct_Charcoal_01_sQCl1o9.jpg;14011_Talent_Charcoal_01_FC9AbSt.jpg;14011_bProduct_Black_02_G9PRLiw.jpg;14011_bProduct_Black_01_c9WuQuM.jpg,normal
14015,Charcoal;Navy;Black,4;6;10;12;14;16;18;20;24;26;28;30;8;22,comfort wool stretch;pants;regular fit;female;women;separate suiting;suiting;business;mix and match;banking and finance;corporate education,Womens Comfort Wool Stretch Adjustable Waist Pant,"{'sizes': ['4 - 30 (AUS/NZ)', '0 - 26 (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['The best selling pant in the range is a must have for your wardrobe. With a hidden elastic waist and deep front side pockets.']}","Sizes: 4 - 30 (AUS/NZ),0 - 26 (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: The best selling pant in the range is a must have for your wardrobe. With a hidden elastic waist and deep front side pockets.; ",14015_bProduct_Charcoal_01_OD2nUJm.jpg,14015_bProduct_Charcoal_01_OD2nUJm.jpg;14015_bProduct_Charcoal_02_xlfugDp.jpg;14015_bProduct_Navy_02_VoT6kqX.jpg;14015_bProduct_Navy_01_i2h3Ykp.jpg;14015_Talent_Navy_01_GMg0LJS.jpg;14015_bProduct_Black_02_fE9Yoan.jpg;14015_bProduct_Black_01_IftIzf6.jpg,normal
14017,Navy;Charcoal;Black,16;4;18;8;10;12;20;14;6,comfort wool stretch;pants;slim fit;female;women;separate suiting;suiting;business;mix and match,Womens Comfort Wool Stretch Slim Leg Pant,"{'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Comfort Wool Stretch Suiting: 55% Polyester, 43% Wool, 2% Elastane; Premium wool blend suiting with polyester for durability and elastane for added stretch and comfort'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Comfort Wool Stretch Suiting: 55% Polyester, 43% Wool, 2% Elastane; Premium wool blend suiting with polyester for durability and elastane for added stretch and comfort; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",14017_bProduct_Navy_02_zP08c9K.jpg,14017_bProduct_Navy_02_zP08c9K.jpg;14017_bProduct_Navy_01_F46jQrI.jpg;14017_bProduct_Charcoal_02_zX5hBmT.jpg;14017_bProduct_Charcoal_01_6ERtLpG.jpg;14017_bProduct_Black_02_P4tS6Nw.jpg;14017_bProduct_Black_01_zpltSSA.jpg;14017_Talent_Black_01_iArTJ83.jpg,normal
20111,Black;Navy,4;6;8;10;12;14;18;20;22;24;26;16,skirts;cool stretch plain;relaxed fit;female;women;separate suiting;suiting;business;mix and match,Womens Cool Stretch Relaxed Fit Lined Skirt,"{'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Traditional knee length skirt with back hem split and concealed zip for a seamless finish.']}","Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Traditional knee length skirt with back hem split and concealed zip for a seamless finish.; ",20111_bProduct_Black_01_h3vjysc.jpg,20111_bProduct_Black_01_h3vjysc.jpg;20111_bProduct_Black_02_B7J4hfd.jpg;20111_bProduct_Navy_02_ILFfr4r.jpg;20111_bProduct_Navy_01_EDOotE1.jpg;20111_Talent_Navy_01_gRm3p5T.jpg,normal
