style,colors,size,category,short_description,long_description,stringified_description,worn_image,basicimg,sale_status
ZA018,Black,FRE,accessories;pants;syzmik essentials;male;industrial;mix and match;pants and shorts;industrial-workwear;work-pants-and-shorts,Knee Pad,"{'sizes': 'One Size', 'fabric': '100% Polythene', 'features': ['Compatible with selected pants for advanced knee protection']}",Sizes: One Size; Fabric: 100% Polythene; Features: Compatible with selected pants for advanced knee protection; ,ZA018_aTalent_Black_01_4T6RvoN.jpg,ZA018_aTalent_Black_01_4T6RvoN.jpg;ZA018_bProduct_Black_01_XrzMcNy.jpg,normal
ZC503,Charcoal,72;77;82;87;92;97;102;107;112;122;117,overalls;non hi vis;syzmik essentials;male;industrial;industrial-workwear,Mens Service Overall,"{'sizes': '3/77 - 12/122', 'fabric': '65% Polyester 35% Cotton - 230gsm', 'features': ['Strong poly-cotton fabric ideal for the toughest of jobs', 'Suitable for light industrial wash', 'Elasticated back waist', 'Two way zip and stud closure front placket', 'Heavy duty nickel plated studs', 'Two chest pockets with stud closures', 'Pen partition on arm', 'Mobile pocket', 'Adjustable cuff', 'Two back hip pockets', 'Two side hip access pockets']}","Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets; ",ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,ZC503_aTalent_Charcoal_01_QJKwkQt.jpg;ZC503_bProduct_Charcoal_01_YEVdUa6.jpg;ZC503_bProduct_Charcoal_02_gGO81Ta.jpg,normal
ZC525,Yellow/Navy;Orange/Navy,77;82;87;92;97;102;107;112;117;122,fire armour;hi vis taped;overalls;moda;male;fire-armour;industrial,Mens Orange Flame Overall - Hoop Taped,"{'sizes': '3/77 - 12/122', 'fabric': '55% Modacrylic 43% Cotton 2% Anti-Static - 250 gsm', 'features': ['HRC 2/10 cal inherent protection at a light 250 gsm weight', 'Unmatched comfort and coolness thanks to the breathable and soft MODATech® fabric', 'Concealed two way FR plastic zip centre front closure as specified in NENS 09 -2014 for quick removal and increased protection', 'Meets and exceed all recent NENS, ISO and NFPA design guidelines', 'All reflective tape, press studs, labels, threads, buttons, on garment are FR rated', 'Stand up collar for extra protection', 'Gusset sleeve closure for extra protection with FR rated press studs', 'Two chest pockets and one mobile phone pocket with covered FR press stud closures', 'Two side slant pockets and two back hip pockets with flap and FR stud closures', 'Two way radio and gas loops on the shoulder yoke', 'Label that clearly shows FR rating of garment so workers can be quickly identified as having the right level of protection', 'Crotch gusset to provide great freedom of movement']}","Sizes: 3/77 - 12/122; Fabric: 55% Modacrylic 43% Cotton 2% Anti-Static - 250 gsm; Features: HRC 2/10 cal inherent protection at a light 250 gsm weight,Unmatched comfort and coolness thanks to the breathable and soft MODATech fabric,Concealed two way FR plastic zip centre front closure as specified in NENS 09 -2014 for quick removal and increased protection,Meets and exceed all recent NENS, ISO and NFPA design guidelines,All reflective tape, press studs, labels, threads, buttons, on garment are FR rated,Stand up collar for extra protection,Gusset sleeve closure for extra protection with FR rated press studs,Two chest pockets and one mobile phone pocket with covered FR press stud closures,Two side slant pockets and two back hip pockets with flap and FR stud closures,Two way radio and gas loops on the shoulder yoke,Label that clearly shows FR rating of garment so workers can be quickly identified as having the right level of protection,Crotch gusset to provide great freedom of movement; ",ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg;ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg;ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg;ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,normal
ZC560,Navy,92;97;102;107;112;117;122;87;77;82,all;overalls;non hi vis;syzmik essentials;male;industrial;industrial-workwear,Mens Lightweight Cotton Drill Overall,"{'sizes': '3/77 - 12/122', 'fabric': '100% Cotton Drill - 190 gsm', 'features': ['Made from cool and comfortable lightweight cotton drill', 'Two\xa0chest pockets, one with mobile phone compartment', 'Two side\xa0hip pockets', 'One back hip pocket', 'Two side access pockets to\xa0reach your internal pant pockets', 'Zipper front closure']}","Sizes: 3/77 - 12/122; Fabric: 100% Cotton Drill - 190 gsm; Features: Made from cool and comfortable lightweight cotton drill,Twochest pockets, one with mobile phone compartment,Two sidehip pockets,One back hip pocket,Two side access pockets toreach your internal pant pockets,Zipper front closure; ",ZC560_Navy_F.jpeg,ZC560_Navy_F.jpeg;ZC560_Navy_B.jpeg,normal
ZC804,Orange/Navy;Yellow/Navy,77;82;87;92;97;102;107;117;122;112,all;hi vis taped;rugged cooling;overalls;male;industrial;industrial-workwear,Mens Rugged Cooling Taped Overall,"{'sizes': '3/77 - 12/122', 'fabric': '100% Square Weave Cotton Ripstop - 240 gsm', 'features': ['Large under arm and back venting to keep you cool', 'Mechanical\xa0stretch to give you more freedom of movement', 'Two chest pockets\xa0with vertical zipper for easy access', 'Large cargo pocket with unique\xa0side zip pocket built into side bellow', 'Mobile phone pocket', 'Zip\xa0gusset in hem to fit over your boot', 'Two side access pockets to\xa0reach your internal pant pockets', 'Hoop reflective tape pattern', 'Double layer hem for durability', 'Reinforced at all key stress points\xa0with bar tacks']}","Sizes: 3/77 - 12/122; Fabric: 100% Square Weave Cotton Ripstop - 240 gsm; Features: Large under arm and back venting to keep you cool,Mechanicalstretch to give you more freedom of movement,Two chest pocketswith vertical zipper for easy access,Large cargo pocket with uniqueside zip pocket built into side bellow,Mobile phone pocket,Zipgusset in hem to fit over your boot,Two side access pockets toreach your internal pant pockets,Hoop reflective tape pattern,Double layer hem for durability,Reinforced at all key stress pointswith bar tacks; ",ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg;ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg;ZC804_aTalent_Yellow_Navy_01_gBpaJsR.jpg;ZC804_bProduct_Yellow_Navy_01_pytDWfp.jpg;ZC804_bProduct_Yellow_Navy_02_cybOWk2.jpg,normal
ZH135,Navy;Slate;White;Light Khaki;Petrol Blue;Light Sage;Black;Charcoal Marle,2XL;3XL;4XL;5XL;L;M;S;XL;XS,tees;t-shirts;streetworx;short sleeve;non hi vis;shirts and polos;syzmik-tees,Mens Streetworx Tee,"{'sizes': 'XS - 5XL', 'fabric': ['100% Super Compact Cotton - 160 GSM - 28 Singles', 'Charcoal Marle: 60% Cotton 40% Polyester - 160 gsm - 28 Singles', 'UPF Rating - Light colors UPF 30+, Dark colours UPF 50+'], 'features': ['Soft lightweight and breathable cotton fabric', 'Longer tail with curved hem', 'Tear-away back neck label', 'Taped shoulder and neck to help maintain shape', 'Mens Sleevless style features drop armhole with raw edge finish', 'Womens style features scooped neck']}","Sizes: XS - 5XL; Fabric: 100% Super Compact Cotton - 160 GSM - 28 Singles,Charcoal Marle: 60% Cotton 40% Polyester - 160 gsm - 28 Singles,UPF Rating - Light colors UPF 30+, Dark colours UPF 50+; Features: Soft lightweight and breathable cotton fabric,Longer tail with curved hem,Tear-away back neck label,Taped shoulder and neck to help maintain shape,Mens Sleevless style features drop armhole with raw edge finish,Womens style features scooped neck; ",ZH135_bProduct_Navy_01_cxuXexG.jpg,ZH135_bProduct_Navy_01_cxuXexG.jpg;ZH135_bProduct_Navy_02_cvRCbv1.jpg;ZH135_aTalent_Slate_01_zv14OZK.jpg;ZH135_aTalent_Slate_02_maENp17.jpg;ZH135_bProduct_Slate_01_zsuH3i8.jpg;ZH135_bProduct_Slate_02_TExhElZ.jpg;ZH135_aTalent_White_01_iXO4DYW.jpg;ZH135_aTalent_White_02_oMyOHTR.jpg;ZH135_bProduct_White_01_8HzMQTx.jpg;ZH135_bProduct_White_02_7gY3Tig.jpg;ZH135_bProduct_LightKhaki_01_ImWP13a.jpg;ZH135_bProduct_LightKhaki_02_QnEDU2J.jpg;ZH135_bProduct_PetrolBlue_01_1hm3frC.jpg;ZH135_bProduct_PetrolBlue_02_qCDOzpr.jpg;ZH135_bProduct_LightSage_01_d5M8v3B.jpg;ZH135_bProduct_LightSage_02_w2HV21s.jpg;ZH135_aTalent_Black_01_6tvWk0J.jpg;ZH135_bProduct_Black_02_08uloIr.jpg;ZH135_bProduct_Black_01_WYFe3ZM.jpg;ZH135_aTalent_CharcoalMarle_01_mQgzvrL.jpg;ZH135_bProduct_CharcoalMarle_01_z3CTetg.jpg;ZH135_bProduct_CharcoalMarle_02_n6p1BCT.jpg,normal
ZH137,Black;White;Navy;Petrol Blue;Charcoal Marle,2XL;3XL;4XL;5XL;L;M;S;XL;XS;XXS,tees;streetworx;sleeveless;non hi vis;shirts and polos;syzmik-tees,Mens Streetworx Sleeveless Tee,"{'sizes': 'XS - 5XL', 'fabric': ['100% Super Compact Cotton - 160 GSM - 28 Singles', 'Charcoal Marle: 60% Cotton 40% Polyester - 160 gsm - 28 Singles', 'UPF Rating - Light colors UPF 30+, Dark colours UPF 50+'], 'features': ['Soft lightweight and breathable cotton fabric', 'Longer tail with curved hem', 'Tear-away back neck label', 'Taped shoulder and neck to help maintain shape', 'Mens Sleevless style features drop armhole with raw edge finish', 'Womens style features scooped neck']}","Sizes: XS - 5XL; Fabric: 100% Super Compact Cotton - 160 GSM - 28 Singles,Charcoal Marle: 60% Cotton 40% Polyester - 160 gsm - 28 Singles,UPF Rating - Light colors UPF 30+, Dark colours UPF 50+; Features: Soft lightweight and breathable cotton fabric,Longer tail with curved hem,Tear-away back neck label,Taped shoulder and neck to help maintain shape,Mens Sleevless style features drop armhole with raw edge finish,Womens style features scooped neck; ",ZH137_aTalent_Black_01_cbkPdDG.jpg,ZH137_aTalent_Black_01_cbkPdDG.jpg;ZH137_aTalent_Black_02_9yPtybd.jpg;ZH137_bProduct_Black_02_T0oVRSK.jpg;ZH137_bProduct_Black_01_cXxS1F7.jpg;ZH137_bProduct_White_01_6cBaxID.jpg;ZH137_bProduct_White_02_EEVvhTp.jpg;ZH137_bProduct_Navy_02_YytAtbN.jpg;ZH137_bProduct_Navy_01_uEHCkGz.jpg;ZH137_aTalent_PetrolBlue_01_hVTLbXs.jpg;ZH137_bProduct_PetrolBlue_01_N17Zv99.jpg;ZH137_bProduct_PetrolBlue_02_zZiGrQX.jpg;ZH137_bProduct_CharcoalMarle_02_RJzGKat.jpg;ZH137_bProduct_CharcoalMarle_01_7ooClv6.jpg,normal
ZH145,Black/White;Navy/White;Silver/White,2XL;3XL;4XL;5XL;7XL;L;M;S;XL;XS;XXS,short sleeve;shirts and polos;syzmik-polos,Mens Striker Short Sleeve Polo,"{'sizes': 'XXS - 5XL, 7XL', 'fabric': '100% Polyester, 145 GSM', 'features': ['Soft lightweight fabric is super breathable for all day comfort', 'Antibacterial technology will help fight odour for 50 washes', 'Mesh side panel for extreme breathability in hot conditions', 'Fabric wicks moisture away from the body', 'Printed back neck labels']}","Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 145 GSM; Features: Soft lightweight fabric is super breathable for all day comfort,Antibacterial technology will help fight odour for 50 washes,Mesh side panel for extreme breathability in hot conditions,Fabric wicks moisture away from the body,Printed back neck labels; ",ZH145_Product_Black_White_02.jpg,ZH145_Product_Black_White_02.jpg;ZH145_Product_Black_White_01.jpg;ZH145_Talent_Navy_White_01.jpg;ZH145_Talent_Navy_White_02.jpg;ZH145_Product_Navy_White_01.jpg;ZH145_Product_Navy_White_02.jpg;ZH145_Talent_Silver_White_01_wDFcnfW.jpg;ZH145_Talent_Silver_White_02.jpg;ZH145_Talent_Silver_White_05.jpg;ZH145_Product_Silver_White_01.jpg;ZH145_Product_Silver_White_02.jpg,new style
ZH165,Black/Charcoal;Charcoal/White;Navy/Orange;Navy/Yellow;Navy/Blue,2XL;3XL;4XL;5XL;7XL;L;M;S;XL;XS;XXS,short sleeve;shirts and polos;syzmik-polos,Mens Spark Short Sleeve Polo,"{'sizes': 'XXS - 5XL, 7XL', 'fabric': '100% Polyester, 145 GSM', 'features': ['Soft and lightweight fabric is super breathable for all day comfort', 'Antibacterial technology will help fight odour for 50 washes', 'Mesh side panel for extreme breathability in hot conditions', 'Fabric wicks moisture away from the body', 'Sublimated side panel is more comfortable next to the skin than traditional print methods', 'Printed back neck labels']}","Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 145 GSM; Features: Soft and lightweight fabric is super breathable for all day comfort,Antibacterial technology will help fight odour for 50 washes,Mesh side panel for extreme breathability in hot conditions,Fabric wicks moisture away from the body,Sublimated side panel is more comfortable next to the skin than traditional print methods,Printed back neck labels; ",ZH165_Talent_Black_Charcoal_01.jpg,ZH165_Talent_Black_Charcoal_01.jpg;ZH165_Product_Charcoal_White_01.jpg;ZH165_Product_Charcoal_White_02.jpg;ZH165_Product_Charcoal_White_03.jpg;ZH165_Talent_Navy_Orange_01.jpg;ZH165_Product_Navy_Orange_01.jpg;ZH165_Product_Navy_Orange_03.jpg;ZH165_Talent_Navy_Orange_02_rZU1CZl.jpg;ZH165_Product_Navy_Orange_02.jpg;ZH165_Product_Navy_Yellow_01.jpg;ZH165_Product_Navy_Yellow_02.jpg;ZH165_Product_Navy_Yellow_03.jpg;ZH165_Talent_Navy_Blue_01.jpg;ZH165_Product_Navy_Blue_01.jpg;ZH165_Product_Navy_Blue_02.jpg;ZH165_Product_Navy_Blue_03.jpg,new style
ZH231,Yellow/Navy;Orange/Navy;Pink/Navy;Yellow/Black;Orange/Charcoal;Yellow/Charcoal;Orange/Black,XXS;XS;S;M;L;XL;5XL;7XL;4XL;2XL;3XL,basic;all;hi vis non taped;syzmik essentials;polos-vests;male;short sleeve;industrial;shirts and polos;industrial-workwear;work-shirts-and-polos;syzmik-polos,Unisex Hi Vis Basic Short Sleeve Polo,"{'sizes': 'XXS - 5XL, 7XL', 'fabric': '100% Polyester, 175 GSM', 'features': ['144 Filament supreme microfibre polyester', ' Moisture wicking properties', ' Highly breathable and quick dry', ' Chest pocket with pen insert']}","Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert; ",ZH231_bProduct_Yellow_Navy_01_C5UfFMp.jpg,ZH231_bProduct_Yellow_Navy_01_C5UfFMp.jpg;ZH231_bProduct_Yellow_Navy_02_MsOHgMl.jpg;ZH231_Talent_Yellow_Navy_01_V9Vr8xR.jpg;ZH231_bProduct_Orange_Navy_01_H32xjYg.jpg;ZH231_bProduct_Orange_Navy_02_R4TuXJW.jpg;ZH231_Product_Pink_Navy_01.jpg;ZH231_Product_Pink_Navy_02.jpg;ZH231_bProduct_Yellow_Black_01_Y0S0aj1.jpg;ZH231_bProduct_Yellow_Black_02_02I4oL1.jpg;ZH231_bProduct_Orange_Charcoal_01_KHKuPfc.jpg;ZH231_bProduct_Orange_Charcoal_02_68zWjhV.jpg;ZH231_bProduct_Yellow_Charcoal_01_daCqWYu.jpg;ZH231_bProduct_Yellow_Charcoal_02_yQaDjI1.jpg;ZH231_bProduct_Orange_Black_01_TFlhjNP.jpg;ZH231_bProduct_Orange_Black_02_eVfGXYk.jpg,normal
