Campaign,Ad group,Keyword,Match type,Final URL
BW | Search | Retail Shop,Workwear general,workwear australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,workwear online australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,workwear shop brisbane,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,workwear supplier brisbane,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,buy workwear online,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,work uniforms australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,work clothing australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Workwear general,boss workwear,Exact,https://www.bossworkwear.au/
BW | Search | Retail Shop,Workwear general,boss workwear australia,Phrase,https://www.bossworkwear.au/
BW | Search | Retail Shop,Polos embroidered,work polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,embroidered polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,embroidered work polos,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,custom polo shirts australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,logo polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,branded polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,corporate polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Polos embroidered,work polo brisbane,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Hi-vis PPE,hi vis shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Hi-vis PPE,hi vis work shirts australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Hi-vis PPE,hi vis polo shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Hi-vis PPE,safety workwear australia,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Hi-vis PPE,reflective work shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Embroidery printing,embroidered work shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Embroidery printing,custom embroidered shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Embroidery printing,logo embroidery workwear,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Embroidery printing,printed work shirts,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Embroidery printing,screen printing workwear,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Small team orders,small team uniforms,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Retail Shop,Small team orders,order work shirts online,Phrase,https://www.bossworkwear.au/categories/workwear
BW | Search | Bulk Quote 50+,Bulk uniforms,bulk work uniforms,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,bulk workwear quote,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,bulk uniform supplier australia,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,wholesale workwear quote,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,corporate uniform quote,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,team uniform quote,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Bulk uniforms,work uniform quote australia,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,50 plus units,workwear quote 50 units,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,50 plus units,bulk polo shirts 50,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,50 plus units,team polo quote,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,50 plus units,bulk embroidered polos,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Branding bulk,logo embroidery bulk order,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Branding bulk,custom uniforms bulk,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Branding bulk,branded workwear bulk,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Branding bulk,company uniforms bulk order,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Brisbane B2B,uniform supplier brisbane,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Brisbane B2B,workwear supplier brisbane bulk,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Brisbane B2B,corporate workwear brisbane,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Brisbane B2B,embroidery workwear brisbane,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Industries,construction team uniforms,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Industries,trade workwear bulk,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Industries,warehouse uniform supply,Phrase,https://www.bossworkwear.au/quote
BW | Search | Bulk Quote 50+,Industries,hospitality uniforms bulk,Phrase,https://www.bossworkwear.au/quote
